LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,CODE,SALARY RANGE
EASTERN BROADCASTING AMERICA CORPORATION,CITY OF INDUSTRY,91748,REPORTER,27622,B,25001 to 50000
"WORLD JOURNAL LA, LLC",MONTEREY PARK,91754,REPORTER,27622,B,25001 to 50000
L.A. NEWS PUBLISHING COMPANY,LOS ANGELES,90013,JOURNALIST,27622,B,25001 to 50000
"GOOD MORNING MEDIA, INC",LOS ANGELES,90010,REPORTER,27622,B,25001 to 50000
"GOOD MORNING MEDIA, INC",LOS ANGELES,90010,REPORTER,27622,B,25001 to 50000
"DAILY SPORTS SEOUL USA, INC.",LOS ANGELES,90005,REPORTER,27622,B,25001 to 50000
CORNERSTONE CHRISTIAN MONTESSORI SCHOOL,POWAY,92064,TEACHER,27807,B,25001 to 50000
SOONEST EXPRESS INC.,SOUTH SAN FRANCISCO,94080,SURVEY RESEARCHER OF EAST ASIAN MARKET,27934,B,25001 to 50000
U-MEDIA GROUP INC.,ARCADIA,91007,REPORTER,28000,B,25001 to 50000
"CYAGEN BIOSCIENCES, INC.",SUNNYVALE,94089,SALES ASSOCIATE,28000,B,25001 to 50000
"GLACIER DIAMOND, INC.",ANAHEIM,92807,EAST ASIA MARKETS RESEARCH ANALYST,28150,B,25001 to 50000
THE VISION COMMUNITY CHURCH,ANAHEIM,92802,DIRECTOR OF RELIGIOUS EDUCATION,28226,B,25001 to 50000
"MISSION VALLEY MONTESSORI, INC.",FREMONT,94539,MONTESSORI PRIMARY TEACHER,28280,B,25001 to 50000
"YICAWELL ACUPUNCTURE & HERBAL CENTER, INC.",CUPERTINO,95014,MEDICAL ASSISTANT,28500,B,25001 to 50000
"YICAWELL ACUPUNCTURE & HERBAL CENTER, INC.",CUPERTINO,95014,TRADITIONAL CHINESE MEDICINE MEDICAL ASSISTANT,28500,B,25001 to 50000
PACIFIC TRAVEL AND TRADE CORP.,SOUTH SAN FRANCISCO,94080,EVENTS PLANNER,28766,B,25001 to 50000
PACIFIC TRAVEL AND TRADE CORP.,SOUTH SAN FRANCISCO,94080,EVENTS PLANNER,28766,B,25001 to 50000
C L COMPANY,GARDEN GROVE,92843,PURCHASING MANAGER,28800,B,25001 to 50000
"NISSIN INTERNATIONAL TRANSPORT U.S.A., INC.",TORRANCE,90501,LOGISTICS COMPLIANCE COORDINATOR,29037,B,25001 to 50000
LAW OFFICES OF JOHN J. KANG,SAN DIEGO,92111,LAW CLERK,29078,B,25001 to 50000
CLAIRE'S MONTESSORI INTERNATIONAL ACADEMY,"ROSEVILLE (OLD, ) ORANGE VILLE (NEW)",95662,KINDERGARTEN TEACHER,29120,B,25001 to 50000
NIHONMACHI LITTLE FRIENDS,SAN FRANCISCO,94115,PRESCHOOL TEACHER,29160,B,25001 to 50000
"KOREAN COMMUNITY SERVICES, INC.",BUENA PARK,90621,COMMUNITY ORGANIZATION SOCIAL WORKER,29328,B,25001 to 50000
"EVERROCK MULTIMEDIA, INC.",SAN JOSE,95131,FILM AND VIDEO EDITORS,29536,B,25001 to 50000
"HCL AMERICA, INC.",SUNNYVALE,94085,COMPUTER PROGRAMMER,29765,B,25001 to 50000
"VERDUGO HOME HEALTH, INC.",LOS ANGELES,90065,CLINICAL SERVICES SPECIALIST,29765,B,25001 to 50000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST - I,29765,B,25001 to 50000
"LOPINUS, INC",LA MIRADA,90638,ENGLISH TEACHER/DIRECTOR,29920,B,25001 to 50000
CHINESE INFORMATION RADIO,BRISBANE,94005,REPORTER,30000,B,25001 to 50000
SAN JOSE KOREAN PRESBYTERIAN CHURCH,SUNNYVALE,94085,ASSOCIATE PASTOR,30000,B,25001 to 50000
SING TAO NEWSPAPERS LOS ANGELES LTD.,CITY OF INDUSTRY,91745,REPORTER,30000,B,25001 to 50000
RIDGEVIEW DRIVE RANCH LLC,ALTADENA,91001,CLINICAL COUNSELOR,30000,B,25001 to 50000
IRIDESCENT,LOS ANGELES,90007,DIRECTOR OF VIDEO PRODUCTION,30000,B,25001 to 50000
TECH NEON,OCEANSIDE,92056,GRAPHIC DESIGNER,30000,B,25001 to 50000
CONTINUUM HEALTH INCORPORATED,EL CENTRO,92243,IN-SERVICE AND HEALTH EDUCATOR,30000,B,25001 to 50000
"AUTOOPT NETWORKS, INC.",FREMONT,94539,INFORMATION TECHNOLOGY SPECIALIST,30000,B,25001 to 50000
BIZMATICS INC.,SAN JOSE,95117,COMPUTER SUPPORT SPECIALIST,30000,B,25001 to 50000
"WORLD JOURNAL LA, LLC",MONTEREY PARK,91754,JOURNALIST,30000,B,25001 to 50000
AMERICAN MARTIAL ARTS ACADEMY,SIMI VALLEY,93065,MARTIAL ARTS & DEMO TEAM COACH,30000,B,25001 to 50000
"SPAMART, INC.",PASADENA,91105,PROGRAM COORDINATOR,30000,B,25001 to 50000
"WORLD JOURNAL LA, LLC",MONTEREY PARK,91754,JOURNALIST,30000,B,25001 to 50000
"UNION OF PAN ASIAN COMMUNITIES, INC.",SAN DIEGO,92102,MENTAL HEALTH SPECIALIST,30181,B,25001 to 50000
"LAW OFFICES OF MICHAEL I. BROOKS, APC",LOS ANGELES,90010,TRANSLATOR,30472,B,25001 to 50000
LAW OFFICES OF MELANIE M. YANG,SAN GABRIEL,91776,BILINGUAL TRANSLATOR,30472,B,25001 to 50000
LAW OFFICES OF JONATHAN LIANG,EL MONTE,91731,LEGAL TRANSLATOR,30472,B,25001 to 50000
LAW OFFICES OF JONATHAN LIANG,EL MONTE,91731,LEGAL TRANSLATOR,30472,B,25001 to 50000
"TAKI LAW OFFICES, A PROFESSIONAL CORPORATION",NEWPORT BEACH,92660,TECHNICAL WRITER / TRANSLATOR,30472,B,25001 to 50000
"NESSTECH INTERNATIONAL, INC.",TORRANCE,90503,TRANSLATOR,30472,B,25001 to 50000
"E.D.I. MEDIA, INC.",WEST COVINA,91791,NEWS REPORTER/WRITER,30500,B,25001 to 50000
"THE KOREA TIMES LOS ANGELES, INC.",LOS ANGELES,90010,REPORTER,30780,B,25001 to 50000
SOUTHERN STATE UNIVERSITY,SAN DIEGO,92101,MARKETING AND RECRUITMENT SPECIALIST,31000,B,25001 to 50000
PITZER COLLEGE,CLAREMONT,91711-6101,RESIDENT DIRECTOR,31000,B,25001 to 50000
ENTRAVISION COMMUNICATIONS CORPORATION,SANTA MONICA,90404,CREATIVE PRODUCER,31000,B,25001 to 50000
"HCL AMERICA, INC.",SUNNYVALE,94085,SYSTEMS ANALYST,31117,B,25001 to 50000
AND COMPANY,LOS ANGELES,90046,JUNIOR DESIGNER,31200,B,25001 to 50000
DOREMI KIDS LLC,SAN FRANCISCO,94118,HEAD TEACHER,31200,B,25001 to 50000
DOREMI KIDS LLC,SAN FRANCISCO,94118,HEAD TEACHER,31200,B,25001 to 50000
DOREMI KIDS LLC,SAN FRANCISCO,94118,HEAD TEACHER,31200,B,25001 to 50000
IGATE TECHNOLOGIES INC.,FREMONT,94555,COMPUTER PROGRAMMERS,31200,B,25001 to 50000
IGATE TECHNOLOGIES INC.,FREMONT,94555,COMPUTER PROGRAMMERS,31200,B,25001 to 50000
SANG IL KIM MD INC.,RESEDA,92335,ACUPUNCTURIST,31324.8,B,25001 to 50000
YU ZHANG ACUPUNCTURE INC.,PASADENA,91101,ACUPUNCTURIST,31325,B,25001 to 50000
"HS ACUPUNCTURE, INC.",LOS ANGELES,90006,ACUPUNCTURIST,31325,B,25001 to 50000
"YERIM ACUPUNCTURE CENTER, INC.",LOS ANGELES,90020,ACUPUNTURIST,31325,B,25001 to 50000
"YERIM ACUPUNCTURE CENTER, INC.",LOS ANGELES,90020,ACUPUNTURIST,31325,B,25001 to 50000
SANG IL KIM MD INC.,RESEDA,91335,ACUPUNCTURIST,31325,B,25001 to 50000
"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR.",STANFORD,94305,BASIC LIFE SCIENCE RESEARCH ASSOCIATE,31365,B,25001 to 50000
CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,OAKLAND,94609,STAFF RESEARCH ASSOCIATE,31470,B,25001 to 50000
CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,OAKLAND,94609,STAFF RESEARCH ASSOCIATE,31470,B,25001 to 50000
FREEDOM GUITAR INC.,SAN DIEGO,92115,SOUND ENGINEER,31532.8,B,25001 to 50000
"ASSURED RELOCATION, INC",REDWOOD  CITY,94061,STAFF ACCOUNTANT,31699,B,25001 to 50000
"LITTLER MENDELSON, P.C.",SAN FRANCISCO,94108-2693,IMMIGRATION LAW CLERK,31699,B,25001 to 50000
TOBINWORLD,GLENDALE,91205,TEACHER,31780,B,25001 to 50000
ITOCHU LOGISTICS (USA) CORP.,TORRANCE,90501,WRITER,31845,B,25001 to 50000
"MARKATOS MOORE, INC.",SAN FRANCISCO,94111,DESIGNER,31886,B,25001 to 50000
SWA GROUP,SAUSALITO,94966,LANDSCAPE ARCHITECTURAL DESIGNER,32000,B,25001 to 50000
"AMBIOPHARM, INC.",CARLSBAD,92011,QUALITY ASSURANCE BIOLOGIST,32000,B,25001 to 50000
CROWN RIDGE ACADEMY,SAN BERNARDINO,92404,A,32000,B,25001 to 50000
CROWN RIDGE ACADEMY,SAN BERNARDINO,92404,ACCOUNTANT/AUDITOR,32000,B,25001 to 50000
"SEC COMPLIANCE SERVICES, INC.",SAN LEANDRO,94577,MARKET AND SURVEY RESEARCHER,32000,B,25001 to 50000
"DEJA, INC.",TORRANCE,90505,TEACHER,32000,B,25001 to 50000
US ATTA INTERNATIONAL CORP,CHINO HILLS,91709,GRAPHIC DESIGNER,32000,B,25001 to 50000
"CALIFORNIA PSYCHCARE, INC.",VAN NUYS,91406,COMPUTER SUPPORT SPECIALIST,32000,B,25001 to 50000
BUZZ MEDIA,LOS ANGELES,90028,MEDIA NEWS REPORTER,32000,B,25001 to 50000
BYER CALIFORNIA,SAN FRANCISCO,94103,DESIGNER/MERCHANDISER,32000,B,25001 to 50000
BYER CALIFORNIA,SAN FRANCISCO,94103,ASST. PRODUCT DESIGNER,32000,B,25001 to 50000
RICHARD MACDONALD STUDIO,MONTEREY,93940,STUDENT APPRENTICE,32000,B,25001 to 50000
RICHARD MACDONALD STUDIO,MONTEREY,93940,STUDENT APPRENTICE,32000,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,IT SPECIALIST,32053,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,IT SPECIALIST,32053,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,IT SPECIALIST,32053,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,IT SPECIALIST,32053,B,25001 to 50000
LOMA LINDA VETERANS ASSOCIATION FOR RESEARCH & EDU,REDLANDS,92373,RESEARCH TECHNICIAN,32094,B,25001 to 50000
ABA BEARS,ALTA LOMA,91701,LEAD BEHAVIOR THERAPIST,32198,B,25001 to 50000
ABA BEARS,ALTA LOMA,91701,LEAD BEHAVIOR THERAPIST,32198,B,25001 to 50000
U.S DATA MANAGEMENT LLC,VENTURA,93003,TECHNICAL RECRUITER,32200,B,25001 to 50000
LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE,TORRANCE,90502,STAFF RESEARCH ASSOCIATE II,32261.04,B,25001 to 50000
JB LINE INC,CORONA,92881,GRAPHIC DESIGNER,32400,B,25001 to 50000
"JB LINE, INC.",CORONA,92881,GRAPHIC DESIGNER,32400,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,MERCHANDISER,32469,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,MERCHANDISER,32469,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,MERCHANDISER/ASSISTANT MANAGER,32469,B,25001 to 50000
"CALIFORNIA STATE UNIVERSITY, FRESNO FOUNDATION",FRESNO,93726,EVENT PLANNING MANAGER,32760,B,25001 to 50000
WEST COAST CLINICAL TRIALS LLC,CYPRESS,90630,TECHNICAL WRITER/TRANSLATOR,33000,B,25001 to 50000
LA JOLLA INSTITUTE FOR ALLERGY & IMMUNOLOGY,LA JOLLA,92037,RESEARCH TECHNICIAN I,33000,B,25001 to 50000
CELPROGEN INC.,SAN PEDRO,90731,BIOLOGICAL TECHNICIAN,33000,B,25001 to 50000
CELPROGEN INC.,SAN PEDRO,90731,BIOLOGICAL TECHNICIANS,33000,B,25001 to 50000
CELPROGEN INC.,SAN PEDRO,90731,BIOLOGICAL TECHNICIANS,33000,B,25001 to 50000
SDI MEDIA GROUP,CULVER CITY,90232,EUROPEAN PORTUGUESE SUBTITLE EDITOR,33000,B,25001 to 50000
"ANYONE COLLECTIVE, LLC",SOUTH PASADENA,91030,GRAPHIC DESIGNER,33039,B,25001 to 50000
"ANYONE COLLECTIVE, LLC",SOUTH PASADENA,91030,GRAPHIC DESIGNER,33039,B,25001 to 50000
CALION INC.,LOS ANGELES,90015,GRAPHIC DESIGNER,33093,B,25001 to 50000
CALION INC,LOS ANGELES,90015,GRAPHIC DESIGNER,33093,B,25001 to 50000
AVERCORP INDUSTRIES,EL MONTE,91731,GRAPHIC DESIGNER,33093,B,25001 to 50000
"ANYONE COLLECTIVE, LLC",SOUTH PASADENA,91030,GRAPHIC DESIGNER,33093,B,25001 to 50000
"MARC ATLAN DESIGN, INC.",VENICE,90291,GRAPHICS DESIGNER I,33093,B,25001 to 50000
AV ENTERTAINMENT INC.,CITY OF INDUSTRY,91745,GRAPHIC DESIGNER,33093,B,25001 to 50000
"BRANDISSIMO, INC.",ENCINO,91436,GRAPHIC DESIGNER,33093,B,25001 to 50000
AVERCORP INDUSTRIES,EL MONTE,91731,GRAPHIC DESIGNER,33093,B,25001 to 50000
"BRANDISSIMO, INC.",ENCINO,91436,GRAPHIC DESIGNER,33093,B,25001 to 50000
"MARC ATLAN DESIGN, INC.",VENICE,90291,GRAPHICS DESIGNER I,33093,B,25001 to 50000
"MEDICI TEXTILE, INC.",LOS ANGELES,90021,SENIOR GRAPHIC DESIGNER,33093,B,25001 to 50000
"T'Z INTERNATIONAL, INC.",ANAHEIM,92805,GRAPHIC DESIGNER,33093,B,25001 to 50000
EROM INC.,LA MIRADA,90638,GRAPHIC DESIGNER,33093,B,25001 to 50000
"NITROHEAT, LLC",MANHATTAN BEACH,90266,GRAPHIC DESIGNER,33093,B,25001 to 50000
"BLACK OPS ENTERTAINMENT, LLC.",SANTA MONICA,90403,GRAPHIC DESIGNER,33093,B,25001 to 50000
"SKEETER'S HOME MOVIES, INC.",BEVERLY HILLS,90212-3413,GRAPHIC DESIGNERS,33150,B,25001 to 50000
HOKTO KINOKO CO.,SAN MARCOS,92069,INTERPRETER AND TRANSLATOR,33259,B,25001 to 50000
"SPEEDDATE.COM, INC.",MILLBRAE,94030,"FRAUD AUDITOR, CORPORATE INVESTIGATIONS",33280,B,25001 to 50000
"PRIME HEALTHCARE MANAGEMENT, INC.",ONTARIO,91761,CLINICAL SYSTEMS ANALYST,33280,B,25001 to 50000
"PRIME HEALTHCARE MANAGEMENT, INC.",ONTARIO,91761,CLINICAL SYSTEMS ANALYST,33280,B,25001 to 50000
"NIS AMERICA, INC.",SANTA ANA,92705,PROJECT COORDINATOR,33280,B,25001 to 50000
"PRIME HEALTHCARE SERVICE - MONTCLAIR, LLC",ONTARIO,91761,CLINICAL SYSTEMS ANALYST,33280,B,25001 to 50000
"NIS AMERICA, INC.",SANTA ANA,92705,PROJECT COORDINATOR,33280,B,25001 to 50000
FREMONT YOUTH SOCCER LEAGUES,FREMONT,94538,HEAD SOCCER COACH,33313,B,25001 to 50000
HIRSCH BEDNER & ASSOCIATES,SANTA MONICA,90404,INTERIOR DESIGNER,33405,B,25001 to 50000
HIRSCH BEDNER & ASSOCIATES,SANTA MONICA,90404,INTERIOR DESIGNER,33405,B,25001 to 50000
"KIRK NIX ASSOCIATES, INC.",LOS ANGELES,90048,INTERIOR DESIGNER,33405,B,25001 to 50000
WORLD COFFEE KIOSK LLC,LOS ANGELES,90010,INTERIOR DESIGNER,33405,B,25001 to 50000
WORLD COFFEE KIOSK LLC,LOS ANGELES,90010,INTERIOR DESIGNER,33405,B,25001 to 50000
"NAKAMURA AIR EXPRESS (U.S.A.), INC.",LOS ANGELES,90045,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
"EAST-WEST ASSOCIATE, INC.",LA MIRADA,90638,LOGISTICS ANALYST,33467,B,25001 to 50000
TEAMWORK TELECOM INC.,ROSEMEAD,91770,MARKET ANALYST,33467,B,25001 to 50000
"MOO GUNG INTERNATIONAL, INC.",LOS ANGELES,90033,MARKETING AND BUSINESS DEVELOPMENT SPECIALIST,33467,B,25001 to 50000
"INTERNATIONAL TRAINEE NETWORK, LLC",LOS ANGELES,90010,BUSINESS DEVELOPMENT AND ACCOUNT MANAGEMENT COORDI,33467,B,25001 to 50000
"U.S. JACLEAN, INC",GARDENA,90249,RESEARCH ASSOCIATE,33467,B,25001 to 50000
H&H SPORTS PROTECTION USA INC.,SOUTH EL MONTE,91733,BUSINESS DEVELOPMENT SPECIALIST,33467,B,25001 to 50000
AMERICAN APPAREL (USA) LLC,LOS ANGELES,90021,E-COMMERCE STRATEGIST - ITALY,33467,B,25001 to 50000
H&H SPORTS PROTECTION USA INC.,SOUTH EL MONTE,91733,BUSINESS DEVELOPMENT SPECIALIST,33467,B,25001 to 50000
BELA EDUCATION GROUP INC,HACIENDA HEIGHTS,91745,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
CREDIT CARD SERVICES INC,LOS ANGELES,90010,BUSINESS DEVELOPMENT SPECIALIST,33467,B,25001 to 50000
FARAMARZIPOUR USA INC.,VERNON,90058,BUSINESS DEVELOPMENT ANALYST,33467,B,25001 to 50000
"TIANCHENG INTERNATIONAL, INC. USA",ONTARIO,91761,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
CALHOME INC.,POMONA,91767,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
AMERICAN APPAREL (USA) LLC,LOS ANGELES,90021,E-COMMERCE STRATEGIST,33467,B,25001 to 50000
THE RUSTIN CORPORATION,SANTA BARBARA,93108,BUSINESS STRATEGY AND DEVELOPMENT ANALYST,33467,B,25001 to 50000
"C LUCE, INC.",LOS ANGELES,90007,MARKET ANALYST,33467,B,25001 to 50000
"AMAZING GRACE APPAREL, INC.",LOS ANGELES,90021-2006,MANAGEMENT ANALYST,33467,B,25001 to 50000
WDW COMMUNICATIONS INC.,CULVER CITY,90232,DIGITAL STRATEGIST,33467,B,25001 to 50000
EAST WEST BANK,PASADENA,91101,MARKET ANALYST,33467,B,25001 to 50000
"ILY ENTERPRISE, INC.",CITY OF INDUSTRY,91748,MARKET ANALYST,33467,B,25001 to 50000
EAST-WEST LOGISTICS INC.,LA MIRADA,90638,MARKET ANALYST,33467,B,25001 to 50000
"C LUCE, INC.",LOS ANGELES,90007,MARKET ANALYST,33467,B,25001 to 50000
"CREDIT CARD SERVICES, INC.",LOS ANGELES,90010,STRATEGIC MARKET ANALYST,33467,B,25001 to 50000
"FOREVER 21, INC.",LOS ANGELES,90058,DATA ANALYST,33467,B,25001 to 50000
"CONTINENTAL DISTRIBUTION, LLC",CARSON,90746,DIRECTOR-STRATEGY AND STRATEGIC MARKETING,33467,B,25001 to 50000
"NETDNA, LLC",LOS ANGELES,90068,BUSINESS DEVELOPMENT SPECIALIST,33467,B,25001 to 50000
VERSUS CORP U.S.,CITY OF INDUSTRY,91746,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
KOREA TRADE CENTER - LOS ANGELES,LOS ANGELES,90010,INTERNATIONAL BUSINESS ANALYST,33467,B,25001 to 50000
VERSUS CORP US,CITY OF INDUSTRY,91746,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
YAMAYA USA INC.,TORRANCE,90505,INTERNATIONAL TRADE ANALYST,33467,B,25001 to 50000
YAMAYA USA INC.,TORRANCE,90505,INTERNATIONAL TRADE SPECIALIST,33467,B,25001 to 50000
"H & Y PLANNING, INC.",TORRANCE,90501,RESEARCH ASSOCIATE,33467,B,25001 to 50000
"APF TRAVEL, INC.",ALHAMBRA,91803,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
"GROWTHINK, INC.",LOS ANGELES,90045,SENIOR BUSINESS ANALYST,33467,B,25001 to 50000
"C LUCE, INC.",LOS ANGELES,90007,MARKET ANALYST,33467,B,25001 to 50000
"VELOCITY INVESTMENT GROUP, INC.",PASADENA,91106,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
TOPWIN CORPORATION,TORRANCE,90501,"FASHION DESIGN, MERCHANDISING ANALYST",33467,B,25001 to 50000
SHANGHAI NO. 1 SEAFOOD VILLAGE INC.,SAN GABRIEL,91776,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
"ACTIVE USA, INC.",LOS ANGELES,90058,MERCHANDISING SPECIALIST,33467,B,25001 to 50000
SHANGHAI NO. 1 SEAFOOD VILLAGE INC.,SAN GABRIEL,91776,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
"AURORA WORLD, INC",PICO RIVERA,90660,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
"SELECT AIRCARGO SERVICES, INC.",LOS ANGELES,90061,BUSINESS STRAGEGY AND DEVELOPMENT ANALYST,33467,B,25001 to 50000
"UNI HOSIERY CO., INC.",LOS ANGELES,90037,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
"SHANGHAI NO.1 SEAFOOD VILAGE, INC.",SAN GABRIEL,91776,MARKET RESEARCH ANALYST,33467,B,25001 to 50000
SOFT GEL TECHNOLOGIES INC.,LOS ANGELES,90040,MARKETING COMMUNICATIONS SPECIALIST,33467,B,25001 to 50000
"MEDIVERSE INTERNATIONAL, INC.",ARCADIA,91006,BUSINESS DEVELOPMENT ANALYST,33500,B,25001 to 50000
GSC INC.,CITY OF INDUSTRY,91745,BUSINESS STRATEGY AND DEVELOPMENT ANALYST,33500,B,25001 to 50000
VIA TRADING CORPORATION,LYNWOOD,90262,BUSINESS STRATEGY AND DEVELOPMENT ANALYST,33500,B,25001 to 50000
HIRSCH BEDNER ASSOCIATES,SANTA MONICA,90404,INTERIOR DESIGNER,33500,B,25001 to 50000
HIRSCH BEDNER ASSOCIATES,SANTA MONICA,90404,INTERIOR DESIGNER,33500,B,25001 to 50000
"JK RESIDENTIAL SERVICES, INC.",LOS ANGELES,90039,RESIDENT MARKETING COORDINATOR,33500,B,25001 to 50000
ADVANCED INDUSTRIAL COMPUTER INC.,CITY OF INDUSTRY,91789,PROJECT ANALYST,33500,B,25001 to 50000
"MANHATTAN VETERINARY GROUP, P.C.",LOS ANGELES,90064,VETERINARY INTERN,33500,B,25001 to 50000
ITOCHU LOGISTICS (USA) CORP.,TORRANCE,90501,MARKETING SYSTEM SPECIALIST,33500,B,25001 to 50000
"SAFFRON CREATIVE, INC.",NORTH HOLLYWOOD,91605,GRAPHIC DESIGNER,33500,B,25001 to 50000
WIMPLUS INC.,WEST COVINA,91790,MARKET RESEARCH ANALYST,33500,B,25001 to 50000
LOMA LINDA UNIVERSITY,SAN BERNARDINO,92408,RESEARCH ASSISTANT,33508.8,B,25001 to 50000
MITSUWA CORPORATION,TORRANCE,90501,MERCHANDISER,33550,B,25001 to 50000
"IL DO TAEKWON DO ASSOCIATION, INC.",IRVINE,92604,ATHLETIC TRAINER,33550,B,25001 to 50000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,33571,B,25001 to 50000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,33571,B,25001 to 50000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,33571,B,25001 to 50000
EASTERN BROADCASTING AMERICA CORPORATION,CITY OF INDUSTRY,91748,BUSINESS STRATEGY & DEVELOPMENT ANALYST,33600,B,25001 to 50000
"DIRECT IMPORT, INC.",CITY OF INDUSTRY,91745,BUSINESS STRATEGY AND DEVELOPMENT ANALYST,33600,B,25001 to 50000
